bisentiment,cleaned_review,words,sentences
0,get dvd cheap total drewbie  s probably constellation movie interest anyone.an early draw movie  look great  get lot cute scene  like shower scene  sexy dance scene  number sexy outfit etc . friendly charm know recent movies.the movie pretty average sub average  look like tv cinema . real horror tension build dialog cheesy.the interesting probably end honestly understand . maybe understand . end expect  come soon expected.overall think movie exclusively drewbie .,79,5
1,like comedy . smith slow . right target great script comedy keep laugh  involve plot . watch skilled comedian  play part . fully believe play . love tommy lee jones men black . comedy rate right movie . humor fast move  smith sure man black . quick witte  skilled art make score time  tasteful manner  finesse.will smith hone comedy routine . darn funny . love allergic reaction eat  face swell  look like cassius clay fight . see sip benadryl bottle try bring head right size . laugh hard . know laugh .,100,14
0,piece junk movie . premise okay  begin crappy effect blend giant normal sized people  effect hercule well  know bad . awful movie dialog . completely incoherent  silly stupid . feel like write 9th grader creative class get d . want slap casper van diem actor follow movie through.i've share cheesy bad movie  love tremors series   . recommend . silly totally flabbergastingly bad dialog cringe .,71,7
1,"big fan movie  usual reason . think travolta winger perform high average rate  think set representative location era  like sound track charlie daniels band .  think photography amazing ! interior scene film actual club gilley low ceiling 10 12 foot high smoke suppose simulate "" smoke fill bar "" hang 2 4 foot ceiling . camera manage shot smoke focus actor  bull  bar  woman  dancing  low level light actually bar ! feat ! sure auxiliary lighting  order maintain atmosphere bar  low light shot . ray villalobo  camera operator  outstanding ! get shot hope achieve impact bring sense reality film . thank  ray great work !",119,10
1,m go fairly brief spoil . movie awesome . begin end  fill genuine thrill . fight scene fantastic  chase scene enthral  move pace feel slow end thing explained  precede . damon shine prove solid actor  dare believe role . role . welcome addition series david straithrain  hope spell close right  seedy cia agent kill bourne . non stop truly leave edge seat way . thing end smidgeon preposterous  negate 10 rating . end leave open sequel sure hope consider  bad . excellent film fantastic end amazing trilogy.p.s . shaky cam hurt action  think . good news  notice people talk action .,112,14
1,"good vintage film buff correctly categorize excellent dvd release "" musical ""  film  pure simple . like unofficial remake  murder windmill  1949   murder plot excuse elaborate girlie kitty carlisle gertrude michael lead cast super decorative girl include ann sheridan  lucy ball  beryl wallace  gwenllian gill  gladys young  barbara fritchie  wanda perry dorothy white . carl brisson hand lend strong voice "" cocktail "" . undoubtedly movie popular song  hear time .  gertrude michael steal  rendition "" sweet marijauna "" strong performance hero reject girlfriend . rest cast  jack oakie victor mclaglen altogether . good thing oakie role weak running gag cult icon  toby wing . fact  idea far rest comedy indulge strained  super dumb inspector mclaglen simply hand killer  believe  instance happen person suspect . director mitch leisen actually go great pain point killer dumbest member cinema audience give player concern close close .",164,9
1,"precursor "" citizen kane "" analysis life decease tycoon  review faithful secretary series interlock flashback . spencer tracy 15th film look middle aged scene mean young!a little silent screen type emoting understandable give vintage enjoyable  write drama .",40,2
1,"air 1973  view dvd set borrow library  feel compel bit it.i remember color television 1960  little "" sunday night party "" friend watch nbc color televisions.i enjoy history name date influence today profound base inconsequential action time . case point  virginia city  nevada  rich city world silver  get character name "" old virginny ""   town early day  stumble saloon  fall broke whiskey bottle.old virginny want waste occasion precious liquid seep dirt decide christen town "" virginia town "" . area know comstock lode character  henry comstock  reputation try jump claim area know comstock lode.i watch early episode deal 2 subject . episode deal mark twain literary rise reporter territorial enterprise .  br it wholesome  frequently educational  family entertainment . remark  episode consider movie right rich script character .  br one thing twist truth proximity virginia city ponderosa . truth  ride ponderosa  northern lake tahoe   ride horse 3000 foot  1000 meter  spooner summit high desert  3000 4000 foot  carson valley 30 40 mile virginia city.needless cartwright sore rear end regular basis . writer leeway truth.how miss  today .",202,10
1,season finale send mix message  feel feeling joy  feeling lie deceive . roseanne tell viewer entire season lie husband  dan  die . admit family win lottery  season 9 lie wish want . confused say becky end david  darlene mark becky mark admit pregnant . believe want  . season finale good  send mixed feeling . fan . ,64,7
1,"admit tsui hark kind  person strong style movie presence . chinese fantasy picture easy present audience  director attempt bring classic fantasy tale zu mountain displayed.the new legend zu truly improve 1983 . new millenium update  tsui hark vision zu mountain . spectacular visual design  amazing action fantasy epic beautifully . keep glue entire picture . great cast fine acting . truly fun movie watch  weird?now people definitely confuse broad story line shorten 95 minute movie . plot relation character  rewatche movie  well sense understand character . complain physical combat  character supernatural power defeat foe  spirit fight hand hand sense .  br i appreciate nice stylish picture . thin story  hey look tsui hark "" time  tide  "" get confused plot  truly stylish awesome . tsui hark attract different h.k . cinema . american audience  difficulty understand watch movie  cause ai crouch tiger  hide dragon  new genre . masterpiece  special effect truly well storm rider . worth check .",177,15
